Turning_Cut_Depth;Milling_Gear_Depth;Drilling_Surf_Quality;Drill_Pressure;Drilling_Speed;Turning_Rotation_Speed;Turning_Cut_Speed;Milling_Circle_Diameter;Drilling_Diameter;Turning_Shaft_Diameter;class
0.621;0.28;0.009;3.734;38.505;43.81;49.171;1.248;1.543;0.101;OK
0.643;0.287;0.01;3.199;37.265;43.921;49.183;1.172;1.552;0.102;OK
0.616;0.305;0.009;1.503;37.002;43.449;49.172;1.157;1.517;0.103;OK
0.633;0.303;0.01;2.07;36.963;43.581;49.183;1.154;1.526;0.102;OK
0.623;0.312;0.01;1.543;37.286;43.619;49.176;1.174;1.53;0.101;OK
0.644;0.308;0.011;2.044;37.959;43.412;49.181;1.215;1.515;0.102;OK
0.628;0.3;0.01;1.885;37.522;43.296;49.16;1.188;1.506;0.101;OK
0.63;0.303;0.01;4.283;37.382;43.375;49.183;1.178;1.512;0.102;OK
0.624;0.297;0.009;2.403;35.842;43.632;49.174;1.086;1.53;0.101;OK
0.637;0.276;0.01;2.3;34.825;43.099;49.172;1.023;1.491;0.101;OK
0.634;0.283;0.01;3.951;35.125;43.657;49.182;1.043;1.533;0.101;OK
0.633;0.286;0.01;2.02;36.151;43.631;49.178;1.105;1.53;0.101;OK
0.636;0.274;0.011;2.924;37.314;43.939;49.182;1.176;1.553;0.101;OK
0.641;0.305;0.011;2.012;37.412;43.892;49.163;1.182;1.55;0.102;OK
0.613;0.294;0.011;1.939;37.017;43.383;49.175;1.158;1.512;0.101;OK
0.638;0.296;0.01;2.911;36.624;42.601;49.162;1.134;1.454;0.101;OK
0.639;0.279;0.01;1.284;35.864;43.36;49.177;1.087;1.511;0.102;OK
0.61;0.311;0.011;;36.594;43.462;49.183;1.132;1.518;0.102;OK
0.601;0.286;0.011;4.466;37.304;43.636;49.184;1.176;1.531;0.101;OK
0.64;0.273;0.011;3.172;37.071;43.689;49.181;1.161;1.535;0.102;OK
0.652;0.277;0.011;3.246;38.119;43.68;49.189;1.225;1.534;0.101;OK
0.629;0.294;0.011;1.341;37.04;43.511;49.195;1.16;1.521;0.101;OK
0.649;0.28;0.012;3.658;37.161;43.398;49.185;1.167;1.513;0.101;OK
0.625;0.289;0.01;2.09;38.39;43.325;49.187;1.242;1.508;0.102;OK
0.61;0.29;0.011;2.833;38.404;43.144;49.166;1.243;1.494;0.101;OK
0.627;0.314;0.011;1.459;38.148;42.809;49.163;1.226;1.469;0.102;OK
0.61;0.294;0.011;3.61;35.949;43.702;49.162;1.094;1.536;0.101;OK
0.619;0.301;0.011;3.506;39.007;43.436;49.172;1.28;1.516;0.102;OK
0.65;0.296;0.01;3.795;37.635;43.08;49.175;1.195;1.49;0.102;OK
0.616;0.286;0.011;3.5;38.994;43.965;49.149;1.278;1.555;0.103;OK
0.634;0.29;0.01;3.37;36.839;43.767;49.177;1.147;1.54;0.102;OK
0.628;0.276;0.011;4.679;36.471;43.52;49.182;1.124;1.522;0.102;OK
0.632;0.292;0.012;2.357;38.432;43.614;49.178;1.244;1.529;0.101;OK
0.635;0.297;0.011;2.724;37.22;43.44;49.161;1.17;1.516;0.101;OK
0.664;0.276;0.012;2.613;36.824;43.642;49.18;1.146;1.532;0.101;OK
0.628;0.283;0.012;2.256;37.101;42.917;49.184;1.163;1.478;0.101;OK
0.633;0.303;0.014;2.155;39.558;43.885;49.172;1.313;1.549;0.101;OK
0.609;0.299;0.012;3.177;38.5;43.549;49.184;1.249;1.525;0.102;OK
0.614;0.312;0.013;4.595;39.092;43.371;49.164;1.284;1.511;0.101;OK
0.633;0.306;0.012;1.543;37.733;42.769;49.174;1.201;1.466;0.101;OK
0.626;0.306;0.012;4.602;37.287;42.728;49.187;1.174;1.464;0.103;OK
0.617;0.305;0.013;4.022;37.724;43.325;49.167;1.202;1.508;0.102;OK
0.643;0.295;0.012;4.302;37.821;42.869;49.187;1.207;1.475;0.102;OK
0.64;0.298;0.011;1.883;37.315;42.702;49.164;1.176;1.461;0.1;OK
0.642;0.268;0.011;2.145;36.55;43.779;49.183;1.13;1.541;0.102;OK
0.653;0.266;0.012;4.474;35.699;43.387;49.181;1.078;1.513;0.101;OK
0.669;0.267;0.012;3.53;33.79;43.019;49.182;0.961;1.485;0.102;OK
0.658;0.27;0.014;1.843;34.805;43.194;49.177;1.022;1.498;0.101;OK
0.618;0.289;0.014;1.115;36.222;43.34;49.167;1.109;1.507;0.101;OK
0.633;0.295;0.014;2.955;37.523;42.849;49.162;1.188;1.473;0.101;OK
0.617;0.303;0.015;2.784;36.776;42.405;49.175;1.144;1.44;0.102;OK
0.591;0.32;0.015;3.739;37.493;43.25;49.193;1.187;1.502;0.102;OK
0.626;0.327;0.014;3.561;38.755;43.649;49.16;1.263;1.532;0.103;OK
0.604;0.32;0.014;3.304;37.463;43.16;49.166;1.184;1.496;0.102;OK
0.664;0.282;0.013;2.126;36.294;43.45;49.178;1.113;1.517;0.102;OK
0.638;0.292;0.012;;36.293;43.118;49.18;1.114;1.493;0.101;OK
0.597;0.298;0.013;4.219;36.522;43.616;49.16;1.128;1.529;0.101;OK
0.608;0.299;0.014;2.541;37.379;42.915;49.179;1.18;1.478;0.101;OK
0.596;0.317;0.013;2.937;39.077;43.467;49.182;1.283;1.518;0.101;OK
0.591;0.304;0.015;1.27;38.346;43.836;49.188;1.239;1.545;0.101;OK
0.583;0.317;0.014;4.451;38.398;43.395;49.175;1.242;1.513;0.101;OK
0.604;0.314;0.015;4.74;38.465;42.91;49.186;1.246;1.477;0.101;OK
0.606;0.287;0.015;2.456;37.488;42.601;49.168;1.186;1.454;0.102;OK
0.63;0.292;0.015;1.181;37.054;43.341;49.185;1.16;1.509;0.101;OK
0.649;0.299;0.016;2.527;36.181;43.011;49.188;1.107;1.485;0.101;OK
0.614;0.28;0.016;4.574;35.291;42.853;49.187;1.053;1.473;0.102;OK
0.664;0.289;0.015;3.645;36.409;43.018;49.179;1.121;1.485;0.102;OK
0.647;0.296;0.014;3.526;36.291;42.905;49.172;1.114;1.477;0.102;OK
0.671;0.293;0.013;3.277;36.029;43.749;49.168;1.097;1.54;0.102;OK
0.632;0.284;0.013;2.203;36.602;43.567;49.176;1.132;1.526;0.102;OK
0.625;0.305;0.014;1.524;36.868;43.822;49.177;1.148;1.545;0.101;OK
0.602;0.295;0.014;4.005;37.852;43.595;49.177;1.209;1.528;0.101;OK
0.6;0.289;0.015;2.503;38.783;43.614;49.166;1.265;1.529;0.101;OK
0.614;0.289;0.016;3.617;38.304;42.843;49.182;1.237;1.473;0.102;OK
0.624;0.312;0.015;4.209;36.582;43.405;49.188;1.131;1.514;0.103;OK
0.637;0.301;0.014;1.017;38.129;43.614;49.179;1.226;1.529;0.102;OK
0.611;0.29;0.016;2.912;37.401;42.826;49.187;1.181;1.471;0.103;OK
0.613;0.294;0.015;3.438;38.464;43.23;49.183;1.246;1.501;0.101;OK
0.59;0.33;0.015;1.828;37.864;43.824;49.165;1.209;1.545;0.101;OK
0.63;0.313;0.016;4.7;36.433;43.601;49.161;1.123;1.529;0.101;OK
0.6;0.313;0.016;1.254;38.553;43.216;49.166;1.252;1.5;0.101;OK
0.656;0.292;0.015;4.207;37.938;43.428;49.177;1.214;1.515;0.102;OK
0.627;0.299;0.015;2.867;38.55;42.815;49.171;1.251;1.471;0.101;OK
0.633;0.291;0.016;2.588;36.712;42.887;49.178;1.139;1.475;0.102;OK
0.654;0.284;0.015;1.903;37.784;43.677;49.172;1.205;1.534;0.102;OK
0.625;0.295;0.016;1.006;36.348;43.453;49.183;1.118;1.517;0.104;OK
0.649;0.278;0.015;4.936;37.565;43.063;49.185;1.191;1.488;0.104;OK
0.675;0.289;0.014;2.696;35.445;43.842;49.181;1.062;1.547;0.103;OK
0.643;0.304;0.014;1.501;35.634;43.857;49.178;1.074;1.547;0.101;OK
0.632;0.303;0.013;1.603;36.722;43.867;49.199;1.139;1.548;0.101;OK
0.625;0.302;0.013;4.956;36.528;43.781;49.172;1.128;1.542;0.101;OK
0.643;0.31;0.014;2.201;37.199;44.241;49.169;1.168;1.576;0.101;OK
0.628;0.29;0.013;2.952;38.306;43.801;49.165;1.236;1.543;0.101;OK
0.638;0.296;0.014;;38.006;43.484;49.169;1.219;1.52;0.102;OK
0.615;0.304;0.015;2.995;36.596;43.453;49.17;1.132;1.517;0.101;OK
0.602;0.297;0.014;2.125;36.532;43.154;49.184;1.128;1.495;0.102;OK
0.599;0.291;0.015;4.635;36.685;43.003;49.156;1.138;1.483;0.102;OK
0.612;0.299;0.014;4.495;37.426;43.454;49.151;1.182;1.517;0.101;OK
0.604;0.301;0.014;2.206;37.507;43.312;49.171;1.188;1.507;0.101;OK
0.614;0.3;0.016;2.983;36.465;43.978;49.166;1.125;1.556;0.103;OK
0.607;0.287;0.015;2.897;36.229;43.039;49.181;1.11;1.486;0.102;OK
0.63;0.311;0.015;1.255;36.283;43.454;49.158;1.113;1.517;0.102;OK
0.628;0.302;0.016;2.55;36.827;43.142;49.192;1.146;1.495;0.101;OK
0.609;0.287;0.015;3.37;37.109;43.05;49.16;1.163;1.488;0.101;OK
0.629;0.296;0.016;3.178;37.758;43.457;49.176;1.203;1.518;0.101;OK
0.638;0.296;0.015;2.856;38.014;43.036;49.16;1.218;1.486;0.102;OK
0.634;0.284;0.015;4.442;36.63;43.125;49.171;1.134;1.493;0.101;OK
0.622;0.293;0.015;3.94;37.658;43.248;49.171;1.197;1.502;0.102;OK
0.614;0.3;0.016;4.031;37.751;43.376;49.164;1.203;1.512;0.102;OK
0.606;0.321;0.016;4.332;38.183;43.482;49.172;1.229;1.519;0.102;OK
0.611;0.297;0.017;3.317;38.051;43.541;49.167;1.22;1.524;0.101;OK
0.631;0.284;0.016;4.929;38.259;43.773;49.167;1.233;1.541;0.102;OK
0.599;0.269;0.017;4.831;38.271;42.979;49.174;1.234;1.482;0.102;OK
0.632;0.292;0.016;4.182;37.46;42.895;49.182;1.185;1.476;0.102;OK
0.621;0.294;0.017;4.744;38.061;43.504;49.174;1.221;1.521;0.102;OK
0.625;0.297;0.018;3.271;36.943;43.383;49.178;1.154;1.512;0.102;OK
0.621;0.29;0.017;1.442;37.304;43.704;49.184;1.175;1.536;0.102;OK
0.638;0.293;0.001;1.747;36.012;39.764;49.184;1.097;1.245;0.101;OK
0.621;0.309;0.001;1.419;35.824;40.014;49.168;1.085;1.264;0.101;OK
0.6;0.281;0.002;4.986;37.298;39.856;49.178;1.175;1.252;0.101;OK
0.639;0.289;0.001;1.813;36.998;39.918;49.171;1.157;1.256;0.101;OK
0.632;0.283;0.0;2.023;36.784;39.559;49.188;1.144;1.23;0.101;OK
0.608;0.296;0.002;3.054;36.28;39.899;49.189;1.113;1.255;0.101;OK
0.631;0.294;0.001;4.153;35.894;40.166;49.177;1.089;1.275;0.101;OK
0.592;0.288;0.002;4.131;35.159;40.369;49.181;1.044;1.289;0.101;OK
0.61;0.28;0.002;1.152;35.646;40.056;49.176;1.074;1.268;0.102;OK
0.599;0.3;0.002;3.567;35.813;40.33;49.171;1.084;1.287;0.102;OK
0.64;0.283;0.002;2.54;35.728;39.921;49.175;1.079;1.257;0.101;OK
0.613;0.303;0.001;2.166;36.882;40.75;49.178;1.15;1.317;0.101;OK
0.599;0.291;0.002;1.697;35.726;41.094;49.186;1.079;1.343;0.102;OK
0.608;0.258;0.003;4.814;36.988;41.518;49.201;1.158;1.374;0.102;OK
0.621;0.287;0.004;3.441;37.29;40.854;49.164;1.174;1.325;0.101;OK
0.644;0.288;0.003;4.944;36.726;40.372;49.196;1.139;1.29;0.102;OK
0.615;0.295;0.003;;36.186;40.109;49.19;1.108;1.27;0.101;OK
0.609;0.297;0.004;2.055;35.727;40.87;49.162;1.079;1.327;0.102;OK
0.607;0.285;0.004;1.285;37.394;41.12;49.168;1.18;1.345;0.102;OK
0.623;0.293;0.004;4.203;37.353;40.766;49.188;1.178;1.319;0.101;OK
0.597;0.277;0.004;2.9;37.323;40.074;49.184;1.176;1.268;0.102;OK
0.624;0.279;0.005;2.354;37.179;40.639;49.159;1.169;1.31;0.102;OK
0.621;0.299;0.004;3.64;36.194;40.805;49.202;1.108;1.321;0.103;OK
0.634;0.284;0.005;4.391;36.469;40.885;49.198;1.125;1.328;0.101;OK
0.633;0.311;0.005;3.303;36.719;40.35;49.171;1.14;1.288;0.103;OK
0.614;0.288;0.004;1.907;35.358;40.638;49.182;1.057;1.309;0.101;OK
0.624;0.3;0.004;2.196;34.78;41.148;49.189;1.022;1.347;0.103;OK
0.624;0.322;0.005;3.141;35.857;39.608;49.177;1.088;1.233;0.102;OK
0.635;0.304;0.004;4.595;36.926;40.406;49.182;1.153;1.292;0.102;OK
0.633;0.3;0.005;2.856;36.141;39.976;49.158;1.104;1.26;0.102;OK
0.626;0.287;0.004;3.626;36.689;40.27;49.178;1.139;1.281;0.101;OK
0.62;0.301;0.005;2.914;35.516;39.544;49.164;1.066;1.228;0.101;OK
0.606;0.277;0.004;2.289;37.243;39.968;49.17;1.171;1.26;0.102;OK
0.599;0.304;0.004;4.102;35.946;39.753;49.187;1.093;1.244;0.101;OK
0.63;0.287;0.006;1.467;35.772;40.355;49.182;1.082;1.288;0.101;OK
0.577;0.274;0.006;2.364;36.954;40.593;49.177;1.154;1.307;0.103;OK
0.574;0.289;0.006;2.673;36.747;40.13;49.172;1.141;1.272;0.102;OK
0.597;0.294;0.007;3.456;36.454;39.512;49.196;1.124;1.226;0.102;OK
0.615;0.295;0.007;2.38;35.682;39.769;49.174;1.076;1.245;0.102;OK
0.64;0.3;0.005;2.774;36.563;39.677;49.182;1.131;1.238;0.1;OK
0.595;0.303;0.006;1.491;38.708;39.922;49.197;1.262;1.256;0.103;OK
0.598;0.284;0.007;4.183;36.846;40.107;49.178;1.147;1.27;0.102;OK
0.598;0.291;0.007;2.178;38.631;40.14;49.166;1.258;1.273;0.102;OK
0.607;0.294;0.007;2.538;37.121;40.745;49.175;1.165;1.317;0.101;OK
0.61;0.301;0.007;3.183;38.185;40.538;49.18;1.229;1.302;0.102;OK
0.606;0.311;0.006;3.565;38.519;40.364;49.172;1.249;1.289;0.101;OK
0.593;0.292;0.007;1.196;36.132;39.926;49.189;1.105;1.256;0.102;OK
0.599;0.296;0.008;4.897;36.515;40.404;49.182;1.127;1.292;0.101;OK
0.557;0.279;0.008;2.582;38.44;40.156;49.184;1.245;1.273;0.101;OK
0.585;0.297;0.008;4.418;36.294;40.19;49.171;1.114;1.276;0.1;OK
0.592;0.285;0.009;1.912;37.894;39.639;49.19;1.211;1.235;0.101;OK
0.589;0.279;0.009;1.756;36.205;39.761;49.181;1.108;1.245;0.101;OK
0.607;0.303;0.01;2.234;36.724;39.72;49.164;1.139;1.242;0.101;OK
0.64;0.288;0.01;3.568;35.594;40.099;49.187;1.071;1.269;0.102;OK
0.65;0.289;0.009;1.974;35.707;39.607;49.196;1.078;1.233;0.102;OK
0.592;0.292;0.009;3.747;35.754;39.81;49.175;1.081;1.248;0.101;OK
0.608;0.302;0.009;2.779;35.949;39.064;49.195;1.092;1.193;0.101;OK
0.608;0.292;0.011;4.384;35.749;40.072;49.169;1.08;1.267;0.102;OK
0.635;0.27;0.01;2.113;36.338;40.7;49.181;1.116;1.314;0.101;OK
0.623;0.294;0.01;2.814;36.314;39.671;49.176;1.114;1.238;0.102;OK
0.646;0.291;0.009;2.165;36.864;39.843;49.201;1.149;1.251;0.102;OK
0.616;0.291;0.01;2.833;35.279;40.041;49.182;1.052;1.265;0.102;OK
0.627;0.311;0.01;3.352;36.111;40.418;49.172;1.102;1.293;0.101;OK
0.615;0.306;0.01;4.861;35.523;39.987;49.172;1.067;1.262;0.102;OK
0.62;0.276;0.01;4.096;36.44;39.293;49.186;1.123;1.211;0.101;OK
0.626;0.289;0.009;1.617;35.944;40.235;49.18;1.093;1.28;0.102;OK
0.615;0.299;0.008;1.367;36.413;39.826;49.179;1.121;1.25;0.102;OK
0.631;0.337;0.01;4.397;36.347;39.086;49.182;1.117;1.195;0.1;OK
0.631;0.316;0.011;2.908;36.562;39.853;49.182;1.131;1.251;0.103;OK
0.636;0.32;0.013;1.748;37.311;39.675;49.167;1.175;1.239;0.102;OK
0.637;0.329;0.014;1.681;36.24;38.794;49.196;1.11;1.174;0.102;OK
0.638;0.321;0.014;2.291;36.2;39.464;49.18;1.109;1.223;0.102;OK
0.626;0.285;0.013;1.324;37.055;40.956;49.187;1.16;1.333;0.101;OK
0.589;0.271;0.011;2.21;36.652;40.907;49.188;1.136;1.33;0.102;OK
0.604;0.277;0.011;1.035;36.427;40.794;49.179;1.122;1.321;0.102;OK
0.609;0.272;0.01;3.606;35.598;40.218;49.185;1.071;1.279;0.102;OK
0.632;0.289;0.01;4.671;36.91;39.651;49.177;1.151;1.237;0.102;OK
0.638;0.305;0.011;2.674;36.793;39.963;49.166;1.145;1.26;0.103;OK
0.638;0.289;0.011;1.03;35.868;39.597;49.178;1.088;1.233;0.101;OK
0.606;0.284;0.011;2.858;37.27;40.207;49.188;1.173;1.277;0.102;OK
0.631;0.307;0.012;2.1;36.633;39.375;49.171;1.134;1.216;0.103;OK
0.612;0.292;0.012;3.588;36.953;39.652;49.162;1.153;1.237;0.102;OK
0.611;0.289;0.011;4.203;36.229;40.562;49.185;1.11;1.304;0.103;OK
0.647;0.322;0.011;1.321;35.555;39.414;49.189;1.069;1.219;0.102;OK
0.622;0.296;0.011;1.6;35.958;39.46;49.177;1.094;1.223;0.102;OK
0.629;0.306;0.013;3.893;35.457;40.197;49.186;1.063;1.277;0.102;OK
0.613;0.309;0.013;2.446;35.31;39.522;49.172;1.053;1.227;0.103;OK
0.633;0.309;0.013;3.087;36.593;40.027;49.183;1.133;1.264;0.103;OK
0.617;0.313;0.012;3.76;35.547;40.169;49.189;1.068;1.274;0.102;OK
0.616;0.313;0.014;2.488;36.34;40.007;49.181;1.117;1.263;0.101;OK
0.624;0.317;0.013;3.477;35.935;40.26;49.174;1.092;1.281;0.103;OK
0.608;0.296;0.014;1.764;35.779;40.764;49.186;1.083;1.319;0.102;OK
0.62;0.266;0.012;;37.467;40.668;49.18;1.185;1.312;0.102;OK
0.616;0.273;0.012;2.6;37.43;41.282;49.178;1.183;1.357;0.101;OK
0.612;0.268;0.011;1.822;37.841;41.406;49.2;1.208;1.366;0.101;OK
0.607;0.289;0.012;1.04;37.199;41.484;49.181;1.169;1.372;0.101;OK
0.632;0.285;0.012;1.068;37.35;41.388;49.176;1.178;1.364;0.101;OK
0.627;0.288;0.011;1.762;36.927;40.517;49.171;1.153;1.3;0.101;OK
0.619;0.286;0.011;3.42;36.303;40.727;49.173;1.114;1.316;0.101;OK
0.62;0.292;0.011;2.362;37.02;40.116;49.181;1.158;1.271;0.102;OK
0.605;0.328;0.012;2.717;36.355;39.425;49.178;1.118;1.22;0.101;OK
0.647;0.327;0.013;2.69;36.157;39.736;49.184;1.105;1.243;0.102;OK
0.643;0.327;0.012;3.934;36.894;39.42;49.189;1.15;1.22;0.101;OK
0.632;0.317;0.013;3.111;36.042;40.39;49.186;1.099;1.291;0.102;OK
0.637;0.338;0.014;1.949;35.18;40.083;49.171;1.046;1.268;0.102;OK
0.652;0.323;0.015;4.705;36.322;39.514;49.197;1.115;1.227;0.102;OK
0.619;0.305;0.014;2.273;37.359;39.863;49.181;1.179;1.252;0.102;OK
0.667;0.331;0.015;2.337;35.886;39.246;49.185;1.089;1.206;0.103;OK
0.647;0.313;0.015;2.652;36.709;39.813;49.178;1.139;1.248;0.103;OK
0.637;0.297;0.016;3.648;35.497;40.318;49.19;1.064;1.286;0.102;OK
0.606;0.298;0.015;3.364;36.774;40.544;49.151;1.143;1.303;0.102;OK
0.615;0.293;0.015;2.484;36.798;40.25;49.174;1.145;1.28;0.1;OK
0.616;0.281;0.015;2.627;37.77;40.513;49.205;1.203;1.3;0.101;OK
0.607;0.289;0.014;4.18;37.599;40.571;49.199;1.193;1.305;0.103;OK
0.625;0.311;0.015;1.318;37.943;39.86;49.177;1.214;1.252;0.102;OK
0.649;0.313;0.015;3.227;37.244;39.778;49.18;1.172;1.246;0.102;OK
0.655;0.312;0.016;2.725;36.846;40.291;49.176;1.147;1.283;0.102;OK
0.634;0.333;0.016;2.767;37.483;39.688;49.184;1.187;1.239;0.103;OK
0.636;0.334;0.016;3.793;37.803;39.339;49.176;1.206;1.213;0.102;OK
0.669;0.31;0.017;2.71;37.238;40.204;49.171;1.171;1.277;0.103;OK
0.641;0.308;0.017;3.474;37.16;40.115;49.157;1.166;1.271;0.103;OK
0.601;0.293;0.018;1.672;37.718;40.093;49.166;1.2;1.269;0.103;OK
0.586;0.279;0.016;4.731;38.512;40.114;49.181;1.249;1.271;0.101;OK
0.598;0.294;0.015;1.104;38.361;40.423;49.169;1.24;1.294;0.101;OK
0.623;0.312;0.014;2.438;37.699;39.808;49.182;1.2;1.248;0.104;OK
0.626;0.303;0.016;3.248;37.656;40.169;49.176;1.197;1.275;0.102;OK
0.643;0.284;0.016;1.301;36.727;40.52;49.18;1.14;1.301;0.102;OK
0.655;0.299;0.015;4.604;37.876;40.442;49.161;1.211;1.295;0.102;OK
0.627;0.301;0.017;1.142;37.3;40.804;49.183;1.175;1.322;0.102;OK
0.643;0.299;0.016;3.557;35.936;40.671;49.172;1.091;1.312;0.102;OK
0.634;0.293;0.017;2.551;35.968;40.897;49.166;1.094;1.328;0.103;OK
0.626;0.281;0.016;2.496;35.349;40.908;49.183;1.057;1.329;0.102;OK
0.645;0.278;0.017;2.901;35.203;40.751;49.17;1.05;1.318;0.104;OK
0.676;0.278;0.019;1.007;35.321;41.18;49.182;1.054;1.349;0.103;OK
0.628;0.282;0.02;2.282;35.848;41.195;49.164;1.087;1.351;0.101;OK
0.636;0.275;0.019;4.606;35.143;40.688;49.189;1.044;1.313;0.102;OK
0.625;0.301;0.019;3.941;36.707;40.3;49.185;1.139;1.285;0.101;OK
0.596;0.345;0.017;3.494;36.637;39.514;49.172;1.135;1.226;0.102;OK
